worker_id,worker_name,worker_type,home_sigungu_code,sido_name,sigungu_name,status,availability_status,travel_distance_km,travel_time_hour,battery_percent,battery_context
FR17730,강지호,현장요원,22510,대구광역시,달성군,현장,업무 중,37.5,6.78,48.0,현장 단말/장비 배터리
PR21233,박윤서,방제요원,22510,대구광역시,달성군,대기,즉시 가용,18.89,2.41,43.0,현장 단말/장비 배터리
FR33853,조지아,현장요원,22510,대구광역시,달성군,출동,이동 중,25.13,2.79,72.0,현장 단말/장비 배터리
PR92160,신건우,방제요원,22510,대구광역시,달성군,출동,이동 중,45.65,5.06,81.0,현장 단말/장비 배터리
FR35330,정하은,현장요원,22520,대구광역시,군위군,현장,업무 중,11.31,1.59,50.0,현장 단말/장비 배터리
PR97993,신민서,방제요원,22520,대구광역시,군위군,출동,이동 중,49.41,8.0,47.0,현장 단말/장비 배터리
DR24963,최도윤,드론요원,22520,대구광역시,군위군,복귀,복귀 중,35.31,5.77,49.0,드론 배터리
FR18888,강현우,현장요원,22520,대구광역시,군위군,출동,이동 중,27.87,5.43,46.0,현장 단말/장비 배터리
PR49918,권도현,방제요원,22520,대구광역시,군위군,복귀,복귀 중,38.68,4.97,88.0,현장 단말/장비 배터리
PR77649,이도현,방제요원,22520,대구광역시,군위군,현장,업무 중,38.26,7.51,47.0,현장 단말/장비 배터리
PR69886,최건우,방제요원,22520,대구광역시,군위군,복귀,복귀 중,41.35,4.31,31.0,현장 단말/장비 배터리
DR33444,강예준,드론요원,22520,대구광역시,군위군,현장,업무 중,38.46,4.04,39.0,드론 배터리
DR82134,강도현,드론요원,22520,대구광역시,군위군,출동,이동 중,19.03,3.36,42.0,드론 배터리
FR13864,한예준,현장요원,22520,대구광역시,군위군,복귀,복귀 중,38.27,7.2,52.0,현장 단말/장비 배터리
PR52584,권지아,방제요원,22520,대구광역시,군위군,복귀,복귀 중,43.34,8.0,54.0,현장 단말/장비 배터리
FR95140,정지아,현장요원,22520,대구광역시,군위군,복귀,복귀 중,18.7,3.46,62.0,현장 단말/장비 배터리
PR51012,이도현,방제요원,22520,대구광역시,군위군,대기,즉시 가용,19.71,3.82,73.0,현장 단말/장비 배터리
PR52396,서수아,방제요원,22520,대구광역시,군위군,출동,이동 중,22.54,2.66,75.0,현장 단말/장비 배터리
FR34215,최예준,현장요원,22520,대구광역시,군위군,현장,업무 중,1.31,0.26,78.0,현장 단말/장비 배터리
PR77760,임서연,방제요원,22520,대구광역시,군위군,복귀,복귀 중,45.18,6.61,82.0,현장 단말/장비 배터리
FR40266,윤민서,현장요원,22520,대구광역시,군위군,복귀,복귀 중,34.37,4.67,88.0,현장 단말/장비 배터리
PR33562,박서현,방제요원,22520,대구광역시,군위군,출동,이동 중,38.94,7.55,89.0,현장 단말/장비 배터리
DR42778,권도윤,드론요원,22520,대구광역시,군위군,출동,이동 중,16.2,2.67,91.0,드론 배터리
FR93472,임건우,현장요원,22520,대구광역시,군위군,출동,이동 중,46.66,5.94,99.0,현장 단말/장비 배터리
FR72421,장민준,현장요원,23010,,,대기,즉시 가용,33.09,4.81,33.0,현장 단말/장비 배터리
DR45728,이건우,드론요원,23010,,,복귀,복귀 중,18.49,1.94,48.0,드론 배터리
PR66554,박채원,방제요원,23010,,,현장,업무 중,10.6,1.48,55.0,현장 단말/장비 배터리
DR73602,오도현,드론요원,23020,,,출동,이동 중,32.42,6.07,61.0,드론 배터리
PR55116,황하은,방제요원,23020,,,현장,업무 중,32.19,5.11,64.0,현장 단말/장비 배터리
FR44002,정민준,현장요원,23020,,,복귀,복귀 중,18.21,2.75,66.0,현장 단말/장비 배터리
FR32621,장도윤,현장요원,23040,,,복귀,복귀 중,22.17,2.83,49.0,현장 단말/장비 배터리
PR50784,강민준,방제요원,23040,,,복귀,복귀 중,13.69,1.85,43.0,현장 단말/장비 배터리
DR21555,박건우,드론요원,23040,,,대기,즉시 가용,5.81,0.63,93.0,드론 배터리
DR20363,최채원,드론요원,23050,,,현장,업무 중,37.21,4.55,48.0,드론 배터리
PR66657,최건우,방제요원,23050,,,현장,업무 중,24.66,2.68,49.0,현장 단말/장비 배터리
FR68304,임수아,현장요원,23050,,,대기,즉시 가용,26.04,4.77,37.0,현장 단말/장비 배터리
PR28332,강지아,방제요원,23060,,,대기,즉시 가용,37.45,5.79,51.0,현장 단말/장비 배터리
FR67357,강지호,현장요원,23060,,,복귀,복귀 중,43.49,4.84,54.0,현장 단말/장비 배터리
DR67079,임서현,드론요원,23060,,,현장,업무 중,49.79,8.0,86.0,드론 배터리
PR66803,한서연,방제요원,23070,,,현장,업무 중,5.02,0.86,66.0,현장 단말/장비 배터리
DR93164,조서연,드론요원,23070,,,복귀,복귀 중,31.36,3.91,75.0,드론 배터리
FR46190,강현우,현장요원,23070,,,대기,즉시 가용,22.67,3.93,86.0,현장 단말/장비 배터리
FR87798,정민준,현장요원,23080,,,복귀,복귀 중,29.65,4.96,58.0,현장 단말/장비 배터리
DR74656,윤윤서,드론요원,23080,,,복귀,복귀 중,17.06,2.67,67.0,드론 배터리
PR33163,한건우,방제요원,23080,,,대기,즉시 가용,25.43,4.04,98.0,현장 단말/장비 배터리
DR54272,서도윤,드론요원,23090,,,복귀,복귀 중,46.37,8.0,54.0,드론 배터리
PR20031,권서연,방제요원,23090,,,대기,즉시 가용,16.33,1.7,77.0,현장 단말/장비 배터리
FR46004,황수아,현장요원,23090,,,출동,이동 중,17.27,2.52,79.0,현장 단말/장비 배터리
DR30875,최현우,드론요원,23510,,,대기,즉시 가용,12.24,2.11,47.0,드론 배터리
PR99610,권민서,방제요원,23510,,,복귀,복귀 중,30.16,6.0,46.0,현장 단말/장비 배터리
FR27386,조현우,현장요원,23510,,,복귀,복귀 중,14.65,2.78,49.0,현장 단말/장비 배터리
DR12772,최서현,드론요원,23520,,,출동,이동 중,6.31,0.85,92.0,드론 배터리
PR75779,한도현,방제요원,23520,,,출동,이동 중,36.3,6.32,49.0,현장 단말/장비 배터리
FR97320,이하은,현장요원,23520,,,현장,업무 중,9.95,1.47,85.0,현장 단말/장비 배터리
PR74103,최수아,방제요원,23520,,,출동,이동 중,27.51,4.95,91.0,현장 단말/장비 배터리
FR47342,최지호,현장요원,23520,,,현장,업무 중,2.01,0.28,95.0,현장 단말/장비 배터리
PR99281,신서현,방제요원,24010,,,출동,이동 중,2.49,0.31,46.0,현장 단말/장비 배터리
FR34831,조윤서,현장요원,24010,,,복귀,복귀 중,20.13,3.21,67.0,현장 단말/장비 배터리
DR14677,최서연,드론요원,24010,,,대기,즉시 가용,28.76,3.56,68.0,드론 배터리
FR44771,윤지호,현장요원,24020,광주광역시,서구,복귀,복귀 중,23.51,3.49,47.0,현장 단말/장비 배터리
PR36027,임예준,방제요원,24020,광주광역시,서구,출동,이동 중,31.74,3.46,66.0,현장 단말/장비 배터리
DR18816,김수아,드론요원,24020,광주광역시,서구,출동,이동 중,24.53,3.95,90.0,드론 배터리
FR72411,강지호,현장요원,24030,광주광역시,남구,복귀,복귀 중,24.02,3.1,49.0,현장 단말/장비 배터리
DR13666,신예준,드론요원,24030,광주광역시,남구,대기,즉시 가용,14.17,1.59,49.0,드론 배터리
PR61273,오준우,방제요원,24030,광주광역시,남구,복귀,복귀 중,19.29,3.47,59.0,현장 단말/장비 배터리
DR78248,신준우,드론요원,24040,,,복귀,복귀 중,36.11,7.18,48.0,드론 배터리
PR70117,김예준,방제요원,24040,,,대기,즉시 가용,46.69,7.0,40.0,현장 단말/장비 배터리
FR52432,박예준,현장요원,24040,,,현장,업무 중,33.2,6.05,93.0,현장 단말/장비 배터리
DR44449,신건우,드론요원,24050,광주광역시,광산구,대기,즉시 가용,43.87,8.0,64.0,드론 배터리
PR77171,권채원,방제요원,24050,광주광역시,광산구,대기,즉시 가용,42.24,8.0,47.0,현장 단말/장비 배터리
FR57641,황서연,현장요원,24050,광주광역시,광산구,출동,이동 중,42.95,6.02,79.0,현장 단말/장비 배터리
PR41340,이도현,방제요원,25010,,,출동,이동 중,10.44,1.68,48.0,현장 단말/장비 배터리
FR68652,강현우,현장요원,25010,,,복귀,복귀 중,39.27,5.26,46.0,현장 단말/장비 배터리
DR11958,황서현,드론요원,25010,,,대기,즉시 가용,7.13,1.33,70.0,드론 배터리
PR11669,권예준,방제요원,25020,,,출동,이동 중,33.3,4.75,93.0,현장 단말/장비 배터리
FR32312,임민서,현장요원,25020,,,현장,업무 중,15.76,1.69,47.0,현장 단말/장비 배터리
DR32377,장도윤,드론요원,25020,,,현장,업무 중,33.96,6.29,76.0,드론 배터리
DR85740,서서연,드론요원,25030,,,출동,이동 중,21.46,4.16,49.0,드론 배터리
PR84997,한하은,방제요원,25030,,,출동,이동 중,49.64,6.16,50.0,현장 단말/장비 배터리
FR30103,김민준,현장요원,25030,,,현장,업무 중,39.53,7.28,66.0,현장 단말/장비 배터리
DR51218,서지호,드론요원,25040,대전광역시,유성구,대기,즉시 가용,37.59,6.49,48.0,드론 배터리
PR22217,이현우,방제요원,25040,대전광역시,유성구,현장,업무 중,47.18,4.76,45.0,현장 단말/장비 배터리
FR84727,장도윤,현장요원,25040,대전광역시,유성구,대기,즉시 가용,28.24,4.42,61.0,현장 단말/장비 배터리
DR49799,임하은,드론요원,25050,,,대기,즉시 가용,24.34,2.59,37.0,드론 배터리
FR69641,최수아,현장요원,25050,,,현장,업무 중,28.33,5.08,44.0,현장 단말/장비 배터리
PR75395,최민준,방제요원,25050,,,출동,이동 중,46.36,5.32,87.0,현장 단말/장비 배터리
FR58795,권현우,현장요원,26010,울산광역시,중구,현장,업무 중,28.19,4.67,49.0,현장 단말/장비 배터리
PR11035,최채원,방제요원,26010,울산광역시,중구,대기,즉시 가용,7.94,1.17,43.0,현장 단말/장비 배터리
DR50144,강채원,드론요원,26010,울산광역시,중구,대기,즉시 가용,8.14,1.26,96.0,드론 배터리
FR43666,김하은,현장요원,26020,울산광역시,남구,복귀,복귀 중,36.08,6.29,49.0,현장 단말/장비 배터리
DR85148,이채원,드론요원,26020,울산광역시,남구,현장,업무 중,23.65,4.16,55.0,드론 배터리
PR84828,최지호,방제요원,26020,울산광역시,남구,출동,이동 중,13.05,1.7,65.0,현장 단말/장비 배터리
PR52550,김건우,방제요원,26030,울산광역시,동구,현장,업무 중,14.88,1.54,46.0,현장 단말/장비 배터리
DR42588,이도현,드론요원,26030,울산광역시,동구,출동,이동 중,8.76,1.34,48.0,드론 배터리
FR13084,한윤서,현장요원,26030,울산광역시,동구,복귀,복귀 중,27.14,3.2,45.0,현장 단말/장비 배터리
PR21895,한준우,방제요원,26040,울산광역시,북구,복귀,복귀 중,25.66,3.11,27.0,현장 단말/장비 배터리
FR66866,정지호,현장요원,26040,울산광역시,북구,출동,이동 중,17.35,3.14,36.0,현장 단말/장비 배터리
DR25112,장서연,드론요원,26040,울산광역시,북구,출동,이동 중,25.85,4.22,60.0,드론 배터리
FR92178,신예준,현장요원,26510,울산광역시,울주군,출동,이동 중,36.13,4.5,47.0,현장 단말/장비 배터리
PR95237,박건우,방제요원,26510,울산광역시,울주군,현장,업무 중,19.11,3.12,56.0,현장 단말/장비 배터리
FR33544,오지아,현장요원,26510,울산광역시,울주군,현장,업무 중,47.25,5.28,65.0,현장 단말/장비 배터리
PR49674,서지아,방제요원,26510,울산광역시,울주군,복귀,복귀 중,34.4,6.72,83.0,현장 단말/장비 배터리
DR25286,김서현,드론요원,26510,울산광역시,울주군,출동,이동 중,4.13,0.62,85.0,드론 배터리
FR43064,신하은,현장요원,29010,세종특별자치시,세종시,대기,즉시 가용,47.42,6.47,38.0,현장 단말/장비 배터리
FR99517,최민준,현장요원,29010,세종특별자치시,세종시,현장,업무 중,27.59,5.14,42.0,현장 단말/장비 배터리
DR22928,조건우,드론요원,29010,세종특별자치시,세종시,현장,업무 중,3.74,0.58,43.0,드론 배터리
PR41228,오채원,방제요원,29010,세종특별자치시,세종시,대기,즉시 가용,32.51,3.93,49.0,현장 단말/장비 배터리
